"station_id","station_name","lat","lng","start_count","start_count_member","start_count_casual"
"TA1309000055","Emerald Ave & 31st St","41.8382032452878973","-87.6451354259715739","6382","5295","1087"
"13206","Loomis St & Jackson Blvd","41.8779547723950449","-87.6620169343329212","6341","4895","1446"
"13073","Ashland Ave & Lake St","41.8859232695271216","-87.6671705991229139","6332","3707","2625"
"TA1307000144","Wolcott (Ravenswood) Ave & Montrose Ave","41.9614156269588248","-87.6761910154236000","6313","4064","2249"
"TA1306000006","Orleans St & Elm St","41.9029154079426929","-87.6377197499894326","6310","4529","1781"
"TA1309000029","Leavitt St & Armitage Ave","41.9178001329060715","-87.6824492335826477","6258","4312","1946"
"13080","Hermitage Ave & Polk St","41.8715179494160720","-87.6698900963722872","6225","5206","1019"
"TA1308000031","Logan Blvd & Elston Ave","41.9294506606297296","-87.6841557221881092","6221","4281","1940"
"13288","Damen Ave & Charleston St","41.9200753315523133","-87.6778824131635735","6204","3881","2323"
"13164","Racine Ave & 18th St","41.8581929099352102","-87.6564801571063604","6202","4006","2196"
